queryID;runtime;load
1;6,2;0.12792750895586988463875888985395473668
2;0,14;0.00360
3;2,6;0
4;2,2;0.058152019173843909501232712400282016
5;1,3;0
6;0,5;0
7;1,8;0
8;0,7;0.015531766397499233934121949915068987
9;1,7;0
10;1,7;0
11;0,2;0.0044547981401653764421579244812331024
12;1,3;0.03372
13;8,1;0.208144736754585748566304060920438772033
14;0,4;0.0073310558739221630879457114677172158
15;0,3;0.007147780024626762068150075404801474
16;1,1;0.02844
17;1,3;0.0472686690716126097568590656341107712
18;1,7;0
19;3,6;0.084175798900418417519630191744796249
20;1,2;0.03108
21;7,6;0.22861234199380121937740817115260840068
22;0,7;0.0146216752058030193927713378116834627372
