Query;1;2;3;avg;;
1;1073,00;1154,00;1053,00;1093,33;34,12%;
2;14,36;18,84;15,85;16,35;0,51%;
3;78,43;81,22;86,00;81,88;2,56%;
4;54,72;53,45;50,78;52,98;1,65%;
5;68,34;68,64;63,17;66,72;2,08%;
6;25,95;21,95;20,37;22,75;0,71%;
7;62,17;61,60;63,87;62,55;1,95%;
8;28,98;26,66;34,88;30,17;0,94%;
9;348,49;334,57;354,74;345,93;10,80%;
10;173,78;192,18;170,87;178,94;5,58%;
11;41,43;32,25;29,26;34,31;1,07%;
12;90,9;90,92;87,85;89,89;2,81%;
13;155,75;167,13;136,63;153,17;4,78%;
14;78,22;33,81;27,01;46,35;1,45%;
15;58,56;49,14;48,52;52,07;1,63%;
16;54,74;44,71;49,38;49,61;1,55%;
17;24,38;19,54;22,55;22,16;0,69%;
18;450,24;416,59;408,51;425,11;13,27%;
19;18,2;14,85;15,55;16,20;0,51%;
20;27,2;15,91;16,34;19,82;0,62%;
21;284,25;332,71;278,73;298,56;9,32%;
22;49,75;41,9;44,05;45,23;1,41%;
